Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C5, C8",0603,4,100nF,
"C10, C14, C2, C3, C7, C9",0603,6,22µF 10V,
C11,0603,1,10µF,
"C13, C6",0603,2,75pF,
C4,0805,1,10µF 50V,
D1,0603,1,Green,
D2,D_SOD-523,1,12V,
D3,D_SOD-523,1,RB521S30T5G,
D4,0603,1,Red,
"FB1, FB2",1206,2,100Ω@100MHz,
J1,Pluggable_DB2ERC-5.08-2P-BK,1,DC Input 6-24V,
J2,PinHeader_2x03_P2.54mm_Vertical_Alt,1,3.3V OUT,
J3,PinHeader_2x03_P2.54mm_Vertical_Alt,1,5V OUT,
J4,USB_Micro_B_Female_10118194-0001LF,1,USB_B_Micro,
"L1, L2",ETQP4M100YFN,2,10µH 3.3A,
"Q1, Q3",SOT-23-6_Handsoldering,2,Si3493DDV,
Q2,SOT-363_SC-70-6-Handsoldering,1,BC857BS,
"R1, R7",0603,2,49.9Ω,
R10,1210,1,5.6kΩ 0.5W,
"R11, R2, R3, R8",0603,4,100kΩ,
R4,0603,1,13.3kΩ,
"R5, R6",0603,2,10kΩ,
R9,0603,1,22kΩ,
"U1, U2",SOT-23-6_Handsoldering,2,TPS54302,
